label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,741,1148,503,2567,1826,1419,2064,-407,238,645
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,532,906,401,1936,1404,1030,1535,-374,131,505
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,531,838,376,1839,1308,1001,1463,-307,155,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,532,838,376,1839,1307,1001,1463,-306,156,462
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
green,549,929,423,2024,1475,1095,1601,-380,126,506
