label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,956,1529,1022,3663,2707,2134,2641,-573,-66,507
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,970,1446,964,3837,2867,2391,2873,-476,6,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1022,1446,964,3837,2815,2391,2873,-424,58,482
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1128,1781,1207,4304,3176,2523,3097,-653,-79,574
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1055,1684,1177,4090,3035,2406,2913,-629,-122,507
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1128,1781,1207,4090,2962,2309,2883,-653,-79,574
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
white,1200,1859,1298,4090,2890,2231,2792,-659,-98,561
