label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,409,546,334,1210,801,664,876,-137,75,212
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,280,327,222,682,402,355,460,-47,58,105
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,472,600,381,1335,863,735,954,-128,91,219
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,557,717,450,1656,1099,939,1206,-160,107,267
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,633,804,489,1824,1191,1020,1335,-171,144,315
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,631,810,497,1836,1205,1026,1339,-179,134,313
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,681,893,514,2076,1395,1183,1562,-212,167,379
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1449,2034,1149,4854,3405,2820,3705,-585,300,885
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1461,2168,1159,5057,3596,2889,3898,-707,302,1009
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1916,2806,1589,6598,4682,3792,5009,-890,327,1217
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2980,1623,6855,4920,3875,5232,-1045,312,1357
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1935,2806,1589,6598,4663,3792,5009,-871,346,1217
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
yellow,1764,2768,1568,6437,4673,3669,4869,-1004,196,1200
