label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5038,4070,10240,7134,5202,6170,-1932,-964,968
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3106,5037,4070,10240,7134,5203,6170,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3104,5035,4068,10240,7136,5205,6172,-1931,-964,967
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,3103,5033,4067,10240,7137,5207,6173,-1930,-964,966
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2623,4030,3244,9916,7293,5886,6672,-1407,-621,786
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2175,3240,2612,8162,5987,4922,5550,-1065,-437,628
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2102,3187,2547,8070,5968,4883,5523,-1085,-445,640
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,2089,2968,2345,7633,5544,4665,5288,-879,-256,623
white,1875,2599,2024,6442,4567,3843,4418,-724,-149,575
white,1875,2599,2024,6442,4567,3843,4418,-724,-149,575
