label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
yellow,153,207,177,468,315,261,291,-54,-24,30
