Rosmaster底板串口通信协议,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"备注：
1.下方数据都是以字节为单位（十六进制）。
2.发送数据的包头为0xFF 0xFC，接收数据的包头为0xFF 0xFB，最后一位是校验位，没有结束位，结束条件为长度的值。
3.校验位计算方式：从长度的值（下标为2）累加到校验位前的值，再对256取余。
4.长度的计算方式：除了包头1和包头2的所有字节之和，快捷计算方式：校验位的下标减去1。
5.小端储存方式：有一部分数据是由两个字节组成，发送和接收时，低位在前，高位在后。
6.特殊符号解释：|符号表示可选择数据，XX符号表示可变化数据或者需要计算得出的数据。
7.带倍数解释：由于无法直接传输小数，所以小数会被放大一定倍数传输，直接除对应的倍数就可以得到实际值。
8.永久保存解释：保存到芯片Flash中，关机重启后，数据依然保存并起作用。",,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,开关,永久保存,checksum,,,,,,,,备注：默认为开启状态，四包数据轮流发送，每包数据间隔10毫秒，相当于一包数据每40毫秒更新一次。如果关闭后，不会自动返回数据，会影响Python驱动库读取线速度、角速度、陀螺仪、加速度计、电池电压等数据。,,,,,,,,,,,,
设置自动发送数据,0xFF,0xFC,0x05,0x01,0x00|0x01,0x00|0x5F,XX,,,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,
关闭自动发送,0xFF,0xFC,0x05,0x01,0x00,0x00,0x06,,,,,,,,,,,,,,,,,,,,
打开自动发送,0xFF,0xFC,0x05,0x01,0x01,0x00,0x07,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,时间（0|1|10X）,,checksum,,,,,,,,"备注：蜂鸣器时间，=0：关闭，=1：一直响，
>=10（10的倍数）：响xx毫秒后自动关闭。",,,,,,,,,,,,
蜂鸣器,0xFF,0xFC,0x05,0x02,低位,高位,XX,,,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,ID（1~4）,角度(0-180),checksum,,,,,,,,备注：ID对应四路PWM舵机，角度控制范围：0~180。,,,,,,,,,,,,
PWM舵机控制,0xFF,0xFC,0x05,0x03,XX,XX,XX,,,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,S1角度(0-180),S2角度(0-180),S3角度(0-180),S4角度(0-180),checksum,,,,,,备注：同时控制四路PWM舵机的角度。如果某个舵机角度超过180，则自动忽略此舵机角度修改。,,,,,,,,,,,,
一次控制所有PWM舵机,0xFF,0xFC,0x07,0x04,XX,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,ID(0-14|0xff),R(0-255),G(0-255),B(0-255),checksum,,,,,,备注：ID对应每个灯珠的编号，ID=0xff时，控制所有灯。,,,,,,,,,,,,
彩色灯带控制,0xFF,0xFC,0x07,0x05,XX,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,特效（0-6）,速度（1-10|0xff）,参数（0-6|0xff）,checksum,,,,,,,备注：控制RGB灯特效，如果不想修改速度或者参数，可以将其设置为0xff，则忽略该数据。,,,,,,,,,,,,
彩色灯带特效,0xFF,0xFC,0x06,0x06,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,M1电机（±100）,M2电机（±100）,M3电机（±100）,M4电机（±100）,checksum,,,,,,备注：用于测试电机或者电机驱动是否正常。正数为前进，负数为后退。,,,,,,,,,,,,
控制电机PWM速度，未使用编码器,0xFF,0xFC,0x07,0x10,XX,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,小车类型,状态（0~7）,速度（0~100）,,checksum,,,,,,"备注：小车类型：保留功能。
状态：=0停车，=1前进，=2后退，=3左平移，=4右平移，=5左旋转，=6右旋转，=7刹车停止。
速度：0~100，速度越大，速度越快。",,,,,,,,,,,,
小车状态控制,0xFF,0xFC,0x07,0x11,XX,XX,XX,0x00,XX,,,,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,小车类型,X轴速度（±1000）,,Y轴速度（±1000）,,Z轴速度（±5000）,,checksum,,,备注：小车运动控制，X轴控制小车前进后退，Y轴速度控制小车左右平移，Z轴速度控制小车左右旋转。由于速度是小数，所以都放大了1000倍。,,,,,,,,,,,,
小车运动控制,0xFF,0xFC,0x0A,0x12,XX,低位,高位,低位,高位,低位,高位,XX,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能,包头1,包头2,长度,功能字,P(0-10000),,I(0-10000),,D(0-10000),,永久保存,checksum,,,备注：由于PID都是小数，所以都放大了1000倍，实际范围为0-10。,,,,,,,,,,,,
小车速度PID调节,0xFF,0xFC,0x0A,0x13,低位,高位,低位,高位,低位,高位,0x00|0x5F,XX,,,,,,,,,,,,,,,
下标,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
